job_id,title,company,industry_domain,location,required_skills,years_experience,description,company_details,url
J11,Staff Data Scientist (SME: Healthcare Financial Risk & Underwriting),Prealize Health,Healthcare / Predictive Analytics,Remote,"Machine learning, actuarial modeling, healthcare risk adjustment, underwriting analytics, Python, SQL, predictive modeling",6+,"Serve as the primary subject-matter expert for healthcare financial risk and underwriting modeling, acting as the technical authority for the company's most critical modeling domains.
Bridge the gap between complex actuarial needs and cutting-edge machine learning.
Define the technical roadmap to scale predictive models for risk adjustment and underwriting.
Lead the evolution of predictive models that power the company's underwriting product.
Qualifications: deep experience in healthcare predictive analytics and actuarial risk modeling; strong machine learning engineering skills; ability to operate as a strategic, high-impact technical leader for a specialized modeling domain.","Prealize Health is a predictive analytics company that leverages machine learning and clinical expertise to help patients obtain better care sooner, focusing on preventive, proactive healthcare.",https://hirenixa.10001mb.com/job/staff-data-scientist-sme-healthcare-financial-risk-underwriting-2
J12,"Senior Data Scientist, Products",CVS Caremark,Healthcare / Insurance (PBM),Remote (US),"Python, SQL, PySpark, Databricks, Snowflake, regression, classification, clustering, time-series forecasting, MLflow, Vertex AI/SageMaker",5+,"Lead a workstream within Caremark's sales and underwriting analytics portfolio, owning end-to-end delivery as a senior individual contributor.
Own multiple concurrent projects across model development, strategic analysis, and analytics product delivery, framing business questions and presenting findings to senior stakeholders.
Set technical direction for the workstream and mentor junior data scientists.
Partner directly with business leaders across sales, underwriting, and finance to turn analysis into action.
Qualifications: 5+ years of data science experience with at least 2 years in financial services, insurance, healthcare, or PBM; production-grade Python and advanced SQL; proficiency with PySpark, Databricks, Snowflake, or distributed computing; strong fundamentals across regression, classification, clustering, time-series forecasting, and experiment design.","CVS Caremark is the pharmacy benefit management (PBM) division of CVS Health, managing prescription drug benefits for large employers, health plans, and government programs.",https://hiresub.infinityfree.me/job/senior-data-scientist-products-5062110
J13,Data Scientist - Medicare/Medicaid Claims Data,Flexgen Life Sciences,Healthcare / Life Sciences,Remote (US),"SAS, SQL, health economics, real-world evidence analysis, Medicare/Medicaid claims analytics, statistical modeling",3+,"Join the Strategic Analytics, Value, and Economics team to leverage advanced data science and health economics methods that shape access to life-saving therapies.
Work with rich, real-world healthcare data including Medicare and Medicaid claims to uncover insights that directly inform policy, pricing, and patient access decisions.
Design and execute analyses in Medicare and Medicaid healthcare claims data.
Prepare client-facing deliverables including presentations summarizing health economics and outcomes research (HEOR) findings.
Qualifications: Master's or PhD in Data Science, Biostatistics, Health Economics, Epidemiology, Public Health, Computer Science, or a related quantitative field; at least 3 years of professional experience with SAS, SQL, or similar tools applying data science in healthcare, HEOR, or life sciences; demonstrated experience with large-scale health data analysis (claims, EHR, registry, or clinical trial data).",This life sciences analytics group partners with pharmaceutical and biotech companies to apply real-world evidence and health economics research to improve patient access to treatments.,https://flexgen.zya.me/job/data-scientist-medicare-medicaid-claims-data
J14,"MLOps Engineer, Machine Learning Engineer (Remote)",Experian Health,Healthcare / Credit & Data Services,Remote (US),"Python, AWS SageMaker, Lambda, Step Functions, Docker, Kubernetes (EKS), MLflow, TensorFlow Serving, Kubeflow, Terraform, CloudFormation",3+,"Build and scale machine learning solutions addressing critical challenges in the healthcare revenue cycle.
Operationalize ML models and maintain scalable, secure ML infrastructure on AWS.
Develop scalable MLOps pipelines for model training, validation, deployment, and monitoring using AWS services.
Collaborate with data scientists to productionize ML models and ensure reproducibility, versioning, and traceability.
Monitor model performance and data drift in production, implementing automated retraining and alerting.
Qualifications: Bachelor's degree in Computer Science, Engineering, Data Science, or related field; 3+ years' experience in MLOps, DevOps, or ML engineering roles; 3+ years' experience with AWS ML services; proficiency with Docker and Kubernetes/EKS; experience with MLflow, TensorFlow Serving, or Kubeflow; experience in the healthcare domain, especially claims or EHR data, is a plus.","Experian Health is the healthcare division of Experian, providing data-driven identity, revenue cycle, and care management solutions to hospitals and health systems.",https://builtin.com/job/mlops-engineer-machine-learning-engineer-remote/8103598
J15,Senior MLOps Engineer,IDT Corporation,Telecom / Fintech (Cross-Border Payments),Remote,"Kubernetes, GitOps, MLflow, ClearML, Dagster, Airflow, Kserve, Evidently, real-time model serving, RBAC and data lineage",7+ (3+ hands-on MLOps),"Act as the technical bridge between Modelers (Data Scientists) and DevOps/Infrastructure teams for a decisioning platform that reduces fraud in cross-border transactions.
Build and maintain a seamless platform for real-time model deployment and serving.
Design and own the internal MLOps platform from scratch, focusing on production Kubernetes clusters, automated GitOps pipelines, and scalable model registries.
Implement high-performance ML pipelines for real-time inference, model evaluation, rollouts, and automated rollbacks.
Drive technical standards for production model monitoring, tracking data/concept drift, and ensuring data lineage and security.
Qualifications: 7+ years of overall experience in Infrastructure or Platform Engineering with 3+ years focused on hands-on production MLOps architectures; strong Kubernetes expertise; hands-on experience with model serving/orchestration tools; practical experience operationalizing models for low-latency, real-time production serving.","IDT Corporation provides international communications and fintech services, including cross-border payment and remittance platforms, helping reduce fraud and improve transaction reliability.",https://jobs.lever.co/idt/9179d3e9-344c-4e63-afbd-727f849fac54
J16,MLOps Engineer - Credit Risk and Fraud Platform (Banking),International Banking Platform (via Homebased),Banking / Fintech,Remote,"Python, Docker, Kubernetes, MLflow, CI/CD pipelines, Azure or AWS, LangChain, LangGraph, model governance and regulatory documentation",4+,"Join a large-scale decision intelligence platform supporting credit risk assessment and fraud prevention within an international banking environment.
Build and maintain CI/CD pipelines for machine learning models in a production-critical, regulated environment.
Operationalize model lifecycle processes including versioning, promotion, and rollback.
Deploy and operate LangChain and LangGraph based reasoning services layered on top of core ML outputs.
Implement monitoring for model performance, drift detection, and runtime failures.
Ensure traceability, auditability, and compliance readiness in a regulated environment.
Qualifications: strong hands-on experience in MLOps or ML platform engineering; solid Python skills; experience with Docker and Kubernetes in production; practical experience with MLflow or similar tools; experience with Azure or AWS; ability to operate in regulated or compliance-heavy environments.","This platform serves an international banking group's credit risk and fraud prevention operations, combining machine learning, high-volume data processing, and GenAI orchestration embedded directly into live banking systems.",https://homebased.totalh.net/job/mlops-engineer-credit-risk-and-fraud-platform-banking
J17,Staff Machine Learning Engineer - NLP/Computer Vision,Enterprise Data Extraction Platform (via hirist.tech),Enterprise Software / Data Extraction,Remote / Hybrid,"PyTorch, TensorFlow, OpenCV, scikit-learn, LLMs, VLMs, OCR and text extraction, AWS SageMaker",6+,"Design and implement machine learning, deep learning, classical computer vision, and NLP algorithms focused on data extraction.
Research and support the deployment of advanced algorithms into production systems.
Develop, evolve, and support production-quality code, deploying models as AWS SageMaker endpoints or directly onto devices.
Stay current with advancements in deep learning, computer vision, and NLP.
Work collaboratively with engineers and product managers in an Agile environment.
Qualifications: Bachelor's or Master's in Computer Science, Data Science, Machine Learning, or related field; 6+ years of commercial experience in computer vision, ML, or related area; proficiency in computer vision, deep learning, and NLP techniques; hands-on experience with PyTorch or TensorFlow, OpenCV, scikit-learn; demonstrated experience monitoring and maintaining ML models in production.","This platform helps enterprises extract structured information from unstructured documents and images at scale, combining classical computer vision and modern LLM/VLM techniques.",https://www.hirist.tech/j/staff-machine-learning-engineer-nlp-computer-vision-1649338
J18,"AI Engineer: Computer Vision, LLMs & ML",Flexgen Construction Technology,Construction Technology,Remote,"Python, PyTorch, TensorFlow, JAX, RAG, embeddings, vector databases, computer vision (YOLO, Segment Anything), LangChain, LlamaIndex",2-3+,"Serve as the founding AI engineer tackling problems with no off-the-shelf answers on construction job sites.
Build RAG systems that understand construction terminology and domain-specific language.
Deploy computer vision that detects safety violations from real-world job-site photos taken in poor lighting conditions.
Create AI assistants that answer project-status questions by reasoning across blueprints, contracts, RFIs, and daily photo logs.
Design real-time progress tracking that works reliably even with poor site connectivity.
Qualifications: recent graduate from a top AI program or 2-3+ years building production ML systems; shipped at least one LLM-based application used by real users; experience with RAG, embeddings, and vector databases; strong Python skills plus PyTorch, TensorFlow, or JAX; computer vision experience (YOLO, Segment Anything) is a plus.","This construction-technology startup builds domain-aware AI tools that make construction sites safer and more efficient, applying computer vision and LLMs to real-world job-site data.",https://flexgen.zya.me/job/ai-engineer-computer-vision-llms-ml
J19,Senior AI/ML Engineer - Multimodal Content Intelligence,Global Content Platform (via NLP People),Media / Content Recommendation,Remote / Hybrid,"PyTorch, TensorFlow, JAX, multimodal learning, computer vision, NLP, recommendation systems, MLLMs, VLMs, representation learning",5+,"Develop advanced multimodal understanding solutions across video, audio, image, and text using state-of-the-art Multimodal Large Language Models (MLLMs).
Develop and optimize multimodal AI frameworks focused on semantic understanding, narrative reasoning, and high-level content interpretation.
Build and deploy advanced AI models combining video, audio, image, and text signals.
Develop scalable, low-latency AI systems suitable for high-concurrency production environments.
Collaborate with recommendation, search, and platform teams to integrate content intelligence signals into production pipelines.
Qualifications: Master's or PhD in Computer Science, AI, ML, or related field; 5+ years of commercial AI/ML research or advanced ML engineering experience; strong experience in at least two of: multimodal learning, computer vision, NLP, recommendation systems, representation learning; hands-on experience with PyTorch, TensorFlow, or JAX; experience deploying ML models into large-scale production environments.","This global technology organization develops next-generation AI-driven content intelligence and recommendation systems for video, audio, image, and text content at scale.",https://nlppeople.com/job/senior-ai-ml-engineer-multimodal-content-intelligence-mllms-computer-vision-nlp-2/
J20,AI Product Manager,Marks & Spencer,Retail,"London, UK","Product management, AI/ML fundamentals, discovery and experimentation, cross-functional leadership, stakeholder management",5+,"Play a pivotal role in turning the potential of AI into real, scalable value for Marks & Spencer within the AI Accelerator team.
Work at the intersection of business, technology, and delivery to identify, prioritize, and shape AI-enabled products that measurably improve customer and colleague experiences.
Lead discovery, experimentation, and delivery, ensuring AI solutions are grounded in real problems and designed for adoption.
Partner with AI engineers, data scientists, and designers to shape AI solutions that are valuable, feasible, usable, and ready to scale.
Own the product lifecycle end to end, from problem definition through launch, adoption, and value realization.
Qualifications: experienced product manager with a strong track record of shaping and delivering AI-enabled digital products that create measurable commercial and operational impact; ability to partner closely with engineering and data science teams; strong bias for pace and learning.","Marks & Spencer (M&S) is a major British multinational retailer known for clothing, home goods, and food products, investing in AI to improve customer and colleague experiences.",https://jobs.marksandspencer.com/job-search/digital-tech/london-greater-london/ai-product-manager/300007413078490
J21,"Sr Applied Data Scientist - Search and Browse (Applied ML, NLP, LLMs)",Target Corporation,Retail / E-commerce,"Sunnyvale, CA (Hybrid)","Embeddings, retrieval and ranking models, transformers, NLP, vector search, GenAI/RAG systems, query understanding",3+,"Develop and deploy scalable ML models for search ranking, browse personalization, semantic retrieval, and query understanding systems.
Design and execute experiments to improve search relevance and personalization quality.
Apply modern ML techniques including embeddings, retrieval/ranking models, transformers, NLP, vector search, and GenAI/RAG systems.
Improve query understanding, catalog understanding, semantic retrieval, and long-tail search relevance across large retail catalogs.
Qualifications: 3+ years of industry experience in Machine Learning, Data Science, Search, NLP, Personalization, or related ML systems; exceptional experience with retrieval/ranking systems, semantic search, NLP, or vector search; hybrid work arrangement based at Target's Sunnyvale or Minnesota locations.","Target Corporation is a major American retail chain operating both physical stores and a large e-commerce platform, investing heavily in AI-driven search and personalization.",https://www.dice.com/job-detail/daab4b90-ec4f-4b0c-8b85-6540c9ccae03
J22,Senior Applied AI/ML Scientist - Retailer Growth,Faire,Wholesale E-commerce Marketplace,"San Francisco, CA (Remote-friendly)","Machine learning, LTV modeling, NLP, LLMs, causal ML, bidding optimization, recommender systems, reinforcement learning",3+,"Drive data science vision, strategy, and execution within the Retailer Growth team, using AI/ML solutions to activate and engage more retailers on the platform.
Develop algorithmic solutions for notification and recommender systems, advertising attribution, and lifetime-value (LTV) predictions.
Work on paid marketing optimization, from bidding optimization and search keyword intelligence to smart audience targeting and incrementality estimation.
Leverage ML and LLMs to create programmatic content at scale and build reinforcement learning systems for fast feedback loops.
Qualifications: 3+ years of industry experience using machine learning to solve real-world problems; experience with e-commerce business problems; experience with LTV modeling, NLP, LLMs, or causal ML; strong programming skills; ability to design and implement ML solutions without supervision.","Faire operates an online wholesale marketplace that helps independent retailers compete with large chains by connecting them with makers and brands, powered by ML-driven recommendations and growth tools.",https://jobs-radar.com/job/senior-applied-ai-ml-scientist-retailer-growth-at-faire-928be2
J23,"Senior Product Manager, AI (eCommerce)",Cymax Group Technologies,E-commerce / Logistics Technology,"Vancouver, BC","Product management, AI/ML fundamentals, NLP, recommender systems, forecasting, optimization, cross-functional leadership",5+,"Define and execute Cymax Group's AI product strategy as the company's AI Product Leader.
Identify high-impact AI opportunities across pricing, merchandising, logistics, personalization, supply chain, demand forecasting, content generation, and customer support.
Translate business needs into scalable AI-powered solutions and lead cross-functional teams to bring those solutions into production.
Prioritize initiatives based on ROI, feasibility, and scalability, owning the full product lifecycle from discovery through launch.
Qualifications: 5+ years in Product Management with significant experience in AI/ML-driven products; proven track record launching and scaling AI products in production; understanding of ML fundamentals including supervised/unsupervised learning, NLP, recommender systems, and forecasting; experience in e-commerce, marketplaces, retail, or supply chain businesses preferred.","Cymax Group Technologies is a tech-enabled brand accelerator that helps brands and retailers compete in the digital marketplace through automation, AI, and optimized logistics in the home and lifestyle category.",https://ca.jobrapido.com/jobpreview/4798518944786808832
